"응답자특성별(1)",응답자특성별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)",응답자특성별(2),분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차
"전체",소계,72060,9.2,0.3,36470,14.0,0.4,35590,4.0,0.2,68043,7.8,0.3,35204,11.9,0.4,32839,3.2,0.2,65528,6.3,0.2,33803,9.6,0.3,31725,2.7,0.1,62276,6.4,0.2,31624,9.5,0.3,30652,3.1,0.2,60040,6.7,0.2,30463,9.4,0.3,29577,3.7,0.2,57303,6.7,0.2,29841,9.3,0.3,27462,3.8,0.2,54948,4.4,0.2,28353,6.0,0.2,26595,2.7,0.1,54848,4.5,0.1,28401,6.0,0.2,26447,2.9,0.1,51850,4.5,0.2,26397,6.2,0.2,25453,2.7,0.1,52880,4.2,0.1,26769,5.6,0.2,26111,2.7,0.1
"학년별",중1,11661,1.7,0.2,6078,2.2,0.2,5583,1.1,0.2,10786,0.9,0.1,5576,1.3,0.2,5210,0.5,0.1,10483,0.8,0.1,5516,1.0,0.1,4967,0.5,0.1,10189,0.7,0.1,5178,1.0,0.2,5011,0.5,0.1,9847,0.8,0.1,4960,1.1,0.2,4887,0.4,0.1,9738,1.0,0.1,5126,1.1,0.2,4612,0.8,0.2,10005,0.7,0.1,5098,0.8,0.1,4907,0.7,0.2,10016,0.8,0.1,5156,0.9,0.2,4860,0.7,0.1,9240,0.8,0.1,4747,0.9,0.2,4493,0.7,0.1,9646,0.9,0.1,4952,0.8,0.1,4694,1.0,0.2
"학년별",중2,12275,4.1,0.2,6331,6.0,0.3,5944,2.1,0.2,11442,3.2,0.2,6038,4.4,0.3,5404,1.9,0.2,10517,2.3,0.2,5466,3.3,0.3,5051,1.3,0.2,10377,3.2,0.2,5272,4.3,0.3,5105,2.0,0.2,10092,3.2,0.2,5137,4.2,0.3,4955,2.2,0.3,9665,3.5,0.2,5039,4.2,0.3,4626,2.6,0.3,9564,1.6,0.1,4823,1.5,0.2,4741,1.6,0.2,10235,1.8,0.1,5326,1.9,0.2,4909,1.7,0.2,9346,2.2,0.2,4736,2.4,0.3,4610,1.8,0.2,9344,2.1,0.2,4707,2.3,0.3,4637,1.9,0.2
"학년별",중3,12220,7.9,0.3,6154,11.7,0.5,6066,3.7,0.3,12071,5.3,0.3,6244,7.8,0.4,5827,2.5,0.2,11219,4.2,0.2,5760,6.0,0.4,5459,2.1,0.2,10319,4.9,0.3,5202,6.8,0.4,5117,2.8,0.3,10290,4.9,0.3,5231,6.1,0.4,5059,3.6,0.3,9981,5.0,0.3,5236,6.5,0.4,4745,3.5,0.4,9392,3.0,0.2,4909,3.7,0.3,4483,2.3,0.2,9764,3.0,0.2,5104,3.5,0.3,4660,2.5,0.2,9429,3.1,0.2,4700,3.4,0.3,4729,2.8,0.3,9411,3.5,0.2,4729,4.0,0.3,4682,3.0,0.3
"학년별",고1,11824,11.3,0.5,6048,16.8,0.8,5776,5.4,0.5,11122,9.1,0.5,5785,13.8,0.6,5337,3.9,0.4,11355,7.1,0.4,5861,11.0,0.6,5494,2.9,0.3,10165,7.0,0.4,5069,10.4,0.6,5096,3.3,0.3,9260,7.7,0.4,4805,10.7,0.6,4455,4.4,0.4,9273,8.3,0.4,4782,11.1,0.6,4491,5.3,0.5,8907,4.8,0.3,4602,6.9,0.5,4305,2.6,0.3,8461,5.4,0.3,4456,7.3,0.5,4005,3.4,0.4,8461,5.1,0.3,4236,7.0,0.4,4225,3.0,0.3,9078,4.3,0.2,4527,5.6,0.4,4551,2.9,0.3
"학년별",고2,12152,13.5,0.6,6009,21.0,0.8,6143,5.5,0.4,11113,11.9,0.6,5777,18.9,0.9,5336,4.2,0.4,11070,9.4,0.5,5744,14.1,0.7,5326,4.3,0.4,10800,9.7,0.4,5610,14.4,0.6,5190,4.5,0.4,10039,9.4,0.4,5110,13.2,0.6,4929,5.2,0.4,9044,10.0,0.4,4662,14.6,0.7,4382,5.0,0.4,8907,7.2,0.4,4631,10.0,0.6,4276,4.2,0.4,8647,7.3,0.4,4478,10.1,0.5,4169,4.4,0.4,7982,7.1,0.4,4164,10.2,0.6,3818,3.7,0.4,8144,7.3,0.4,4112,10.4,0.6,4032,3.9,0.3
"학년별",고3,11928,15.7,0.6,5850,24.5,0.8,6078,5.9,0.4,11509,14.0,0.6,5784,22.0,0.8,5725,5.3,0.5,10884,12.0,0.6,5456,19.1,0.7,5428,4.3,0.4,10426,10.9,0.5,5293,16.8,0.7,5133,4.4,0.4,10512,12.0,0.5,5220,17.7,0.8,5292,5.7,0.4,9602,11.4,0.5,4996,16.8,0.7,4606,5.4,0.4,8173,9.2,0.5,4290,13.3,0.7,3883,4.6,0.5,7725,8.8,0.5,3881,12.6,0.7,3844,4.6,0.4,7392,9.2,0.5,3814,13.8,0.8,3578,4.1,0.4,7257,7.9,0.4,3742,11.4,0.7,3515,4.1,0.3
"학교급별",중학교,36156,4.7,0.2,18563,6.8,0.2,17593,2.3,0.1,34299,3.3,0.1,17858,4.8,0.2,16441,1.7,0.1,32219,2.5,0.1,16742,3.5,0.2,15477,1.3,0.1,30885,3.0,0.1,15652,4.1,0.2,15233,1.8,0.1,30229,3.0,0.2,15328,3.9,0.2,14901,2.1,0.2,29384,3.2,0.1,15401,4.0,0.2,13983,2.3,0.2,28961,1.7,0.1,14830,1.9,0.1,14131,1.5,0.1,30015,1.9,0.1,15586,2.1,0.1,14429,1.6,0.1,28015,2.1,0.1,14183,2.3,0.1,13832,1.8,0.1,28401,2.2,0.1,14388,2.4,0.2,14013,1.9,0.1
"학교급별",고등학교,35904,13.5,0.5,17907,20.8,0.6,17997,5.6,0.3,33744,11.7,0.5,17346,18.3,0.6,16398,4.5,0.3,33309,9.5,0.4,17061,14.7,0.5,16248,3.8,0.3,31391,9.2,0.3,15972,13.9,0.4,15419,4.1,0.3,29811,9.8,0.4,15135,14.1,0.5,14676,5.1,0.3,27919,9.9,0.3,14440,14.2,0.4,13479,5.2,0.3,25987,7.1,0.3,13523,10.1,0.4,12464,3.8,0.3,24833,7.2,0.3,12815,10.0,0.4,12018,4.2,0.3,23835,7.1,0.3,12214,10.4,0.4,11621,3.6,0.2,24479,6.4,0.2,12381,9.0,0.4,12098,3.6,0.2
"지역별",서울,10997,8.7,0.7,5537,13.1,0.8,5460,3.9,0.4,9710,7.0,0.6,4846,10.7,0.8,4864,3.0,0.3,9567,5.8,0.5,4804,8.5,0.7,4763,2.8,0.3,9287,5.7,0.5,4541,8.2,0.5,4746,3.1,0.4,8771,5.7,0.5,4402,7.9,0.6,4369,3.3,0.4,8337,5.7,0.4,4210,8.2,0.7,4127,3.1,0.3,7691,3.4,0.3,4067,4.2,0.4,3624,2.5,0.4,7643,3.3,0.3,3855,4.6,0.5,3788,2.0,0.3,7244,3.3,0.3,3541,4.4,0.5,3703,2.1,0.2,7364,3.5,0.3,3684,4.8,0.5,3680,2.2,0.3
"지역별",부산,4436,9.1,0.8,2300,13.5,1.2,2136,4.2,0.5,4209,7.0,0.8,2159,9.9,1.1,2050,3.7,0.7,3979,5.7,0.7,1957,8.5,0.9,2022,2.5,0.6,3752,5.0,0.7,1738,7.9,1.0,2014,1.7,0.4,3818,5.8,0.7,1882,8.8,0.9,1936,2.5,0.5,3512,7.4,0.7,1872,10.2,1.1,1640,4.3,0.9,3326,3.7,0.4,1714,4.5,0.5,1612,2.8,0.5,3235,4.0,0.4,1754,5.4,0.7,1481,2.5,0.4,2975,3.9,0.5,1573,5.5,0.7,1402,2.2,0.5,3137,3.6,0.6,1572,5.5,1.0,1565,1.6,0.3
"지역별",대구,3952,7.8,0.9,2063,11.8,1.3,1889,3.4,0.5,3614,7.4,1.1,2081,12.3,1.4,1533,1.9,0.5,3292,5.6,0.8,1806,9.3,1.2,1486,1.4,0.4,3288,5.9,0.8,1707,9.2,1.2,1581,2.2,0.4,3066,6.8,1.2,1473,10.4,1.7,1593,2.8,0.6,2965,6.0,0.6,1612,8.7,1.2,1353,2.9,0.8,2767,2.6,0.5,1577,4.3,0.9,1190,0.9,0.2,2929,4.6,0.6,1471,6.9,1.1,1458,2.1,0.6,2550,3.2,0.5,1370,4.4,0.7,1180,1.8,0.4,2642,3.7,0.5,1411,4.4,0.7,1231,2.8,0.7
"지역별",인천,4120,8.9,1.3,2091,13.6,2.1,2029,3.9,1.1,3847,7.3,1.0,2104,11.2,1.5,1743,3.1,0.9,3724,5.7,0.7,1971,9.1,1.1,1753,2.0,0.5,3431,6.0,1.0,1809,9.0,1.6,1622,2.7,0.8,3398,6.8,0.9,1802,9.9,1.6,1596,3.5,0.8,3241,7.1,0.8,1812,10.2,1.4,1429,3.8,1.3,3020,4.3,0.7,1632,6.8,1.2,1388,1.7,0.4,3181,4.2,0.5,1628,5.8,0.8,1553,2.5,0.4,2873,3.3,0.6,1449,4.6,0.8,1424,1.9,0.5,2927,4.9,0.7,1543,6.4,1.0,1384,3.3,0.9
"지역별",광주,3072,9.6,1.8,1544,14.7,3.1,1528,4.1,0.9,2850,10.1,1.6,1364,14.4,2.4,1486,5.5,1.3,2676,7.1,1.5,1310,11.3,2.0,1366,2.7,0.6,2441,7.1,1.0,1156,10.5,1.3,1285,3.6,0.8,2441,8.4,1.3,1148,12.8,1.8,1293,3.7,0.6,2296,6.5,0.6,1109,8.3,0.8,1187,4.6,0.7,2069,5.7,0.8,986,6.2,1.3,1083,5.2,0.9,2197,6.7,0.7,1106,8.3,1.0,1091,5.1,0.9,2015,7.0,0.7,1052,9.9,1.2,963,3.9,0.5,2091,5.2,0.9,908,6.8,1.5,1183,3.5,0.5
"지역별",대전,2966,8.5,1.1,1454,12.7,1.5,1512,4.0,1.0,2656,7.0,1.1,1321,11.3,1.6,1335,2.4,0.5,2682,6.2,1.1,1360,9.6,1.3,1322,2.5,0.6,2377,5.1,0.8,1248,6.9,1.2,1129,3.2,1.0,2273,5.9,1.1,1217,8.6,1.7,1056,2.9,0.5,2184,6.8,0.9,1218,9.3,1.2,966,4.0,0.9,2069,4.5,0.6,1127,6.0,0.8,942,2.8,0.7,2101,4.6,0.9,1155,6.6,1.5,946,2.4,0.4,1769,3.9,0.5,983,5.0,0.6,786,2.7,0.6,1853,4.3,0.6,891,6.4,1.0,962,2.1,0.5
"지역별",울산,2449,10.2,1.3,1179,14.6,1.9,1270,5.2,0.8,2218,9.7,2.3,997,14.7,2.5,1221,4.1,1.8,2114,5.1,0.8,1080,7.9,0.9,1034,1.9,0.5,2121,7.5,1.5,1014,11.9,2.2,1107,2.7,0.7,1943,7.5,0.9,1043,10.1,1.4,900,4.6,0.8,1844,7.9,1.3,1070,10.9,2.0,774,4.6,1.3,1779,5.0,1.5,975,6.2,1.3,804,3.8,1.8,1774,3.7,0.9,971,5.4,1.5,803,1.9,0.5,1741,4.9,0.6,787,6.8,1.2,954,2.7,0.8,1664,4.5,0.7,818,5.8,1.0,846,3.0,0.6
"지역별",세종,-,-,-,-,-,-,-,-,-,935,6.6,1.3,495,10.8,1.8,440,2.2,0.6,1012,6.3,1.1,518,10.3,2.0,494,2.3,0.6,932,4.9,1.2,428,7.9,1.7,504,1.9,0.5,944,6.5,1.2,482,7.9,1.4,462,5.1,1.6,956,5.3,0.7,502,8.1,1.2,454,2.5,0.5,900,4.2,1.3,475,5.7,2.2,425,2.6,1.0,802,4.6,1.2,342,6.6,2.0,460,2.6,0.8,1045,4.7,0.8,528,7.5,1.5,517,1.8,0.6,1097,3.0,0.4,547,4.7,0.8,550,1.3,0.4
"지역별",경기,15158,8.9,0.4,7312,13.1,0.6,7846,4.4,0.3,14352,8.1,0.5,7232,12.1,0.7,7120,3.7,0.4,13990,6.3,0.5,7076,9.1,0.6,6914,3.3,0.4,13465,6.7,0.4,6854,9.6,0.6,6611,3.7,0.3,12798,6.8,0.4,6364,9.1,0.5,6434,4.4,0.3,12360,7.2,0.4,6254,9.3,0.5,6106,4.9,0.4,12236,4.2,0.3,6297,5.6,0.4,5939,2.7,0.3,11946,4.4,0.3,6087,5.7,0.4,5859,3.0,0.3,11651,4.6,0.3,5954,6.1,0.5,5697,3.1,0.3,11934,4.0,0.2,6086,5.0,0.4,5848,2.9,0.2
"지역별",강원,2669,8.1,1.5,1463,14.2,1.5,1206,1.4,0.6,2449,8.3,1.7,1266,13.7,2.6,1183,2.3,0.6,2224,7.4,1.7,1227,11.6,2.5,997,2.8,0.9,2219,7.8,1.6,1219,11.8,2.0,1000,3.5,0.9,2262,7.7,1.5,1171,11.4,2.0,1091,3.7,1.1,2056,6.3,1.0,1108,9.9,1.2,948,2.3,0.6,2054,5.7,1.0,995,8.0,1.6,1059,3.1,0.7,1998,6.1,0.8,1029,9.3,1.1,969,2.7,0.6,1935,5.8,1.3,1010,9.6,1.9,925,1.8,0.4,1895,5.0,0.8,1006,6.9,0.8,889,3.0,0.9
"지역별",충북,2736,10.8,1.5,1298,17.1,1.8,1438,4.0,1.0,2517,9.0,1.4,1229,13.7,2.0,1288,3.9,0.8,2453,6.9,0.9,1196,10.7,1.3,1257,2.9,0.5,2369,6.1,0.8,1149,9.2,1.0,1220,2.8,0.7,2367,8.1,1.2,1207,10.1,1.6,1160,5.9,1.3,2217,7.0,0.8,1153,10.3,1.3,1064,3.5,0.7,2104,5.9,1.1,995,9.3,1.5,1109,2.1,0.5,2113,7.3,1.0,1059,10.2,1.4,1054,4.3,0.7,1941,6.1,0.9,957,9.0,1.3,984,3.0,0.4,2001,5.1,0.8,1010,6.1,1.3,991,4.0,0.8
"지역별",충남,3216,10.4,1.4,1648,16.3,1.5,1568,3.9,1.2,3095,8.1,1.1,1798,12.0,1.7,1297,3.9,0.9,2990,6.6,0.9,1653,9.2,1.8,1337,3.7,0.8,2745,7.0,1.0,1453,10.9,1.4,1292,2.6,0.7,2619,5.6,0.9,1370,7.6,1.2,1249,3.3,1.1,2572,8.2,1.0,1300,10.9,1.4,1272,5.2,1.2,2335,4.5,0.5,1212,6.7,0.9,1123,2.1,0.5,2381,4.2,0.5,1179,5.2,0.7,1202,3.2,0.6,2234,4.2,0.7,1205,5.5,1.1,1029,2.8,0.6,2360,4.4,0.6,1220,5.8,0.9,1140,2.9,0.7
"지역별",전북,3012,9.9,1.4,1550,14.3,1.8,1462,5.2,0.9,2931,8.7,1.1,1584,12.5,1.1,1347,4.5,1.3,3060,7.0,1.0,1746,10.3,1.4,1314,3.4,0.8,2611,7.8,1.3,1458,11.9,1.8,1153,3.3,0.7,2485,6.7,0.9,1310,8.4,1.4,1175,4.8,1.2,2450,6.7,1.0,1220,8.7,1.2,1230,4.5,1.3,2351,6.6,1.3,1229,10.2,2.0,1122,2.7,0.6,2445,5.6,1.0,1338,7.2,1.3,1107,3.9,1.0,2249,6.3,0.7,1221,8.4,0.8,1028,4.1,0.6,2235,5.5,0.6,1103,7.7,1.0,1132,3.2,0.5
"지역별",전남,3111,11.0,0.9,1608,17.9,1.4,1503,3.5,0.4,2925,6.9,1.1,1542,12.2,1.5,1383,1.0,0.3,2820,7.1,1.4,1427,11.3,2.1,1393,2.6,0.8,2583,8.0,1.3,1220,12.1,2.0,1363,3.5,1.1,2455,7.2,1.0,1177,10.9,1.7,1278,3.1,0.4,2549,5.7,0.9,1359,8.7,1.2,1190,2.4,0.6,2278,5.0,0.7,1034,6.7,1.1,1244,3.1,0.8,2197,6.0,1.0,1097,7.5,1.4,1100,4.4,0.8,2158,6.3,0.9,1082,8.1,1.2,1076,4.5,0.9,2223,5.7,0.8,1025,7.8,1.3,1198,3.5,0.6
"지역별",경북,3765,11.3,1.6,1994,16.8,2.3,1771,5.0,1.2,3557,7.5,1.5,1871,12.8,2.3,1686,1.5,0.4,3335,7.1,1.1,1689,11.7,1.6,1646,1.8,0.6,3112,7.6,0.9,1672,10.9,1.2,1440,3.8,1.1,3064,8.0,1.3,1537,11.9,1.8,1527,3.6,0.7,3006,6.2,0.7,1480,9.1,0.9,1526,3.0,0.6,2905,5.9,0.9,1509,8.1,1.6,1396,3.4,0.6,2889,4.0,0.7,1451,5.6,1.0,1438,2.2,0.5,2740,5.4,1.0,1333,7.9,1.6,1407,2.6,0.8,2704,5.0,0.7,1410,6.8,0.9,1294,3.0,0.6
"지역별",경남,4737,9.4,1.2,2414,15.4,1.7,2323,2.7,0.5,4581,7.0,1.2,2451,11.1,1.5,2130,2.4,0.6,4132,7.2,1.0,2167,11.9,1.3,1965,2.1,0.5,4067,5.5,0.8,2212,8.6,1.1,1855,2.0,0.5,3884,6.9,0.8,1982,10.1,1.4,1902,3.3,0.5,3475,6.7,1.1,1865,10.9,1.7,1610,2.0,0.4,3668,4.8,0.7,1837,6.9,1.1,1831,2.6,0.6,3642,4.6,0.5,2051,5.9,0.7,1591,3.3,0.6,3420,4.8,0.6,1680,7.1,1.0,1740,2.2,0.4,3495,3.6,0.5,1740,5.4,0.8,1755,1.8,0.3
"지역별",제주,1664,8.6,1.5,1015,10.9,1.8,649,6.1,1.7,1597,8.6,1.5,864,14.2,1.9,733,2.5,0.9,1478,5.7,1.3,816,9.9,1.4,662,1.0,0.4,1476,5.0,1.0,746,7.5,1.3,730,2.4,0.9,1452,6.0,1.3,896,8.4,1.7,556,3.4,0.7,1283,5.9,0.9,697,7.8,1.4,586,3.8,1.0,1396,4.7,0.7,692,6.3,1.3,704,2.9,0.6,1375,4.3,0.8,828,5.3,1.1,547,3.1,0.7,1310,4.1,1.1,672,5.9,1.6,638,2.3,0.5,1258,5.9,0.8,795,7.0,1.1,463,4.7,1.1
