"응답자특성별(1)","응답자특성별(2)","시점",성별(1),분석대상자수 (명),흡연율 (%),표준오차
"전체","소계","2014",전체,72060,9.2,0.3
"전체","소계","2014",남학생,36470,14.0,0.4
"전체","소계","2014",여학생,35590,4.0,0.2
"전체","소계","2015",전체,68043,7.8,0.3
"전체","소계","2015",남학생,35204,11.9,0.4
"전체","소계","2015",여학생,32839,3.2,0.2
"전체","소계","2016",전체,65528,6.3,0.2
"전체","소계","2016",남학생,33803,9.6,0.3
"전체","소계","2016",여학생,31725,2.7,0.1
"전체","소계","2017",전체,62276,6.4,0.2
"전체","소계","2017",남학생,31624,9.5,0.3
"전체","소계","2017",여학생,30652,3.1,0.2
"전체","소계","2018",전체,60040,6.7,0.2
"전체","소계","2018",남학생,30463,9.4,0.3
"전체","소계","2018",여학생,29577,3.7,0.2
"전체","소계","2019",전체,57303,6.7,0.2
"전체","소계","2019",남학생,29841,9.3,0.3
"전체","소계","2019",여학생,27462,3.8,0.2
"전체","소계","2020",전체,54948,4.4,0.2
"전체","소계","2020",남학생,28353,6.0,0.2
"전체","소계","2020",여학생,26595,2.7,0.1
"전체","소계","2021",전체,54848,4.5,0.1
"전체","소계","2021",남학생,28401,6.0,0.2
"전체","소계","2021",여학생,26447,2.9,0.1
"전체","소계","2022",전체,51850,4.5,0.2
"전체","소계","2022",남학생,26397,6.2,0.2
"전체","소계","2022",여학생,25453,2.7,0.1
"전체","소계","2023",전체,52880,4.2,0.1
"전체","소계","2023",남학생,26769,5.6,0.2
"전체","소계","2023",여학생,26111,2.7,0.1
"학년별","중1","2014",전체,11661,1.7,0.2
"학년별","중1","2014",남학생,6078,2.2,0.2
"학년별","중1","2014",여학생,5583,1.1,0.2
"학년별","중1","2015",전체,10786,0.9,0.1
"학년별","중1","2015",남학생,5576,1.3,0.2
"학년별","중1","2015",여학생,5210,0.5,0.1
"학년별","중1","2016",전체,10483,0.8,0.1
"학년별","중1","2016",남학생,5516,1.0,0.1
"학년별","중1","2016",여학생,4967,0.5,0.1
"학년별","중1","2017",전체,10189,0.7,0.1
"학년별","중1","2017",남학생,5178,1.0,0.2
"학년별","중1","2017",여학생,5011,0.5,0.1
"학년별","중1","2018",전체,9847,0.8,0.1
"학년별","중1","2018",남학생,4960,1.1,0.2
"학년별","중1","2018",여학생,4887,0.4,0.1
"학년별","중1","2019",전체,9738,1.0,0.1
"학년별","중1","2019",남학생,5126,1.1,0.2
"학년별","중1","2019",여학생,4612,0.8,0.2
"학년별","중1","2020",전체,10005,0.7,0.1
"학년별","중1","2020",남학생,5098,0.8,0.1
"학년별","중1","2020",여학생,4907,0.7,0.2
"학년별","중1","2021",전체,10016,0.8,0.1
"학년별","중1","2021",남학생,5156,0.9,0.2
"학년별","중1","2021",여학생,4860,0.7,0.1
"학년별","중1","2022",전체,9240,0.8,0.1
"학년별","중1","2022",남학생,4747,0.9,0.2
"학년별","중1","2022",여학생,4493,0.7,0.1
"학년별","중1","2023",전체,9646,0.9,0.1
"학년별","중1","2023",남학생,4952,0.8,0.1
"학년별","중1","2023",여학생,4694,1.0,0.2
"학년별","중2","2014",전체,12275,4.1,0.2
"학년별","중2","2014",남학생,6331,6.0,0.3
"학년별","중2","2014",여학생,5944,2.1,0.2
"학년별","중2","2015",전체,11442,3.2,0.2
"학년별","중2","2015",남학생,6038,4.4,0.3
"학년별","중2","2015",여학생,5404,1.9,0.2
"학년별","중2","2016",전체,10517,2.3,0.2
"학년별","중2","2016",남학생,5466,3.3,0.3
"학년별","중2","2016",여학생,5051,1.3,0.2
"학년별","중2","2017",전체,10377,3.2,0.2
"학년별","중2","2017",남학생,5272,4.3,0.3
"학년별","중2","2017",여학생,5105,2.0,0.2
"학년별","중2","2018",전체,10092,3.2,0.2
"학년별","중2","2018",남학생,5137,4.2,0.3
"학년별","중2","2018",여학생,4955,2.2,0.3
"학년별","중2","2019",전체,9665,3.5,0.2
"학년별","중2","2019",남학생,5039,4.2,0.3
"학년별","중2","2019",여학생,4626,2.6,0.3
"학년별","중2","2020",전체,9564,1.6,0.1
"학년별","중2","2020",남학생,4823,1.5,0.2
"학년별","중2","2020",여학생,4741,1.6,0.2
"학년별","중2","2021",전체,10235,1.8,0.1
"학년별","중2","2021",남학생,5326,1.9,0.2
"학년별","중2","2021",여학생,4909,1.7,0.2
"학년별","중2","2022",전체,9346,2.2,0.2
"학년별","중2","2022",남학생,4736,2.4,0.3
"학년별","중2","2022",여학생,4610,1.8,0.2
"학년별","중2","2023",전체,9344,2.1,0.2
"학년별","중2","2023",남학생,4707,2.3,0.3
"학년별","중2","2023",여학생,4637,1.9,0.2
"학년별","중3","2014",전체,12220,7.9,0.3
"학년별","중3","2014",남학생,6154,11.7,0.5
"학년별","중3","2014",여학생,6066,3.7,0.3
"학년별","중3","2015",전체,12071,5.3,0.3
"학년별","중3","2015",남학생,6244,7.8,0.4
"학년별","중3","2015",여학생,5827,2.5,0.2
"학년별","중3","2016",전체,11219,4.2,0.2
"학년별","중3","2016",남학생,5760,6.0,0.4
"학년별","중3","2016",여학생,5459,2.1,0.2
"학년별","중3","2017",전체,10319,4.9,0.3
"학년별","중3","2017",남학생,5202,6.8,0.4
"학년별","중3","2017",여학생,5117,2.8,0.3
"학년별","중3","2018",전체,10290,4.9,0.3
"학년별","중3","2018",남학생,5231,6.1,0.4
"학년별","중3","2018",여학생,5059,3.6,0.3
"학년별","중3","2019",전체,9981,5.0,0.3
"학년별","중3","2019",남학생,5236,6.5,0.4
"학년별","중3","2019",여학생,4745,3.5,0.4
"학년별","중3","2020",전체,9392,3.0,0.2
"학년별","중3","2020",남학생,4909,3.7,0.3
"학년별","중3","2020",여학생,4483,2.3,0.2
"학년별","중3","2021",전체,9764,3.0,0.2
"학년별","중3","2021",남학생,5104,3.5,0.3
"학년별","중3","2021",여학생,4660,2.5,0.2
"학년별","중3","2022",전체,9429,3.1,0.2
"학년별","중3","2022",남학생,4700,3.4,0.3
"학년별","중3","2022",여학생,4729,2.8,0.3
"학년별","중3","2023",전체,9411,3.5,0.2
"학년별","중3","2023",남학생,4729,4.0,0.3
"학년별","중3","2023",여학생,4682,3.0,0.3
"학년별","고1","2014",전체,11824,11.3,0.5
"학년별","고1","2014",남학생,6048,16.8,0.8
"학년별","고1","2014",여학생,5776,5.4,0.5
"학년별","고1","2015",전체,11122,9.1,0.5
"학년별","고1","2015",남학생,5785,13.8,0.6
"학년별","고1","2015",여학생,5337,3.9,0.4
"학년별","고1","2016",전체,11355,7.1,0.4
"학년별","고1","2016",남학생,5861,11.0,0.6
"학년별","고1","2016",여학생,5494,2.9,0.3
"학년별","고1","2017",전체,10165,7.0,0.4
"학년별","고1","2017",남학생,5069,10.4,0.6
"학년별","고1","2017",여학생,5096,3.3,0.3
"학년별","고1","2018",전체,9260,7.7,0.4
"학년별","고1","2018",남학생,4805,10.7,0.6
"학년별","고1","2018",여학생,4455,4.4,0.4
"학년별","고1","2019",전체,9273,8.3,0.4
"학년별","고1","2019",남학생,4782,11.1,0.6
"학년별","고1","2019",여학생,4491,5.3,0.5
"학년별","고1","2020",전체,8907,4.8,0.3
"학년별","고1","2020",남학생,4602,6.9,0.5
"학년별","고1","2020",여학생,4305,2.6,0.3
"학년별","고1","2021",전체,8461,5.4,0.3
"학년별","고1","2021",남학생,4456,7.3,0.5
"학년별","고1","2021",여학생,4005,3.4,0.4
"학년별","고1","2022",전체,8461,5.1,0.3
"학년별","고1","2022",남학생,4236,7.0,0.4
"학년별","고1","2022",여학생,4225,3.0,0.3
"학년별","고1","2023",전체,9078,4.3,0.2
"학년별","고1","2023",남학생,4527,5.6,0.4
"학년별","고1","2023",여학생,4551,2.9,0.3
"학년별","고2","2014",전체,12152,13.5,0.6
"학년별","고2","2014",남학생,6009,21.0,0.8
"학년별","고2","2014",여학생,6143,5.5,0.4
"학년별","고2","2015",전체,11113,11.9,0.6
"학년별","고2","2015",남학생,5777,18.9,0.9
"학년별","고2","2015",여학생,5336,4.2,0.4
"학년별","고2","2016",전체,11070,9.4,0.5
"학년별","고2","2016",남학생,5744,14.1,0.7
"학년별","고2","2016",여학생,5326,4.3,0.4
"학년별","고2","2017",전체,10800,9.7,0.4
"학년별","고2","2017",남학생,5610,14.4,0.6
"학년별","고2","2017",여학생,5190,4.5,0.4
"학년별","고2","2018",전체,10039,9.4,0.4
"학년별","고2","2018",남학생,5110,13.2,0.6
"학년별","고2","2018",여학생,4929,5.2,0.4
"학년별","고2","2019",전체,9044,10.0,0.4
"학년별","고2","2019",남학생,4662,14.6,0.7
"학년별","고2","2019",여학생,4382,5.0,0.4
"학년별","고2","2020",전체,8907,7.2,0.4
"학년별","고2","2020",남학생,4631,10.0,0.6
"학년별","고2","2020",여학생,4276,4.2,0.4
"학년별","고2","2021",전체,8647,7.3,0.4
"학년별","고2","2021",남학생,4478,10.1,0.5
"학년별","고2","2021",여학생,4169,4.4,0.4
"학년별","고2","2022",전체,7982,7.1,0.4
"학년별","고2","2022",남학생,4164,10.2,0.6
"학년별","고2","2022",여학생,3818,3.7,0.4
"학년별","고2","2023",전체,8144,7.3,0.4
"학년별","고2","2023",남학생,4112,10.4,0.6
"학년별","고2","2023",여학생,4032,3.9,0.3
"학년별","고3","2014",전체,11928,15.7,0.6
"학년별","고3","2014",남학생,5850,24.5,0.8
"학년별","고3","2014",여학생,6078,5.9,0.4
"학년별","고3","2015",전체,11509,14.0,0.6
"학년별","고3","2015",남학생,5784,22.0,0.8
"학년별","고3","2015",여학생,5725,5.3,0.5
"학년별","고3","2016",전체,10884,12.0,0.6
"학년별","고3","2016",남학생,5456,19.1,0.7
"학년별","고3","2016",여학생,5428,4.3,0.4
"학년별","고3","2017",전체,10426,10.9,0.5
"학년별","고3","2017",남학생,5293,16.8,0.7
"학년별","고3","2017",여학생,5133,4.4,0.4
"학년별","고3","2018",전체,10512,12.0,0.5
"학년별","고3","2018",남학생,5220,17.7,0.8
"학년별","고3","2018",여학생,5292,5.7,0.4
"학년별","고3","2019",전체,9602,11.4,0.5
"학년별","고3","2019",남학생,4996,16.8,0.7
"학년별","고3","2019",여학생,4606,5.4,0.4
"학년별","고3","2020",전체,8173,9.2,0.5
"학년별","고3","2020",남학생,4290,13.3,0.7
"학년별","고3","2020",여학생,3883,4.6,0.5
"학년별","고3","2021",전체,7725,8.8,0.5
"학년별","고3","2021",남학생,3881,12.6,0.7
"학년별","고3","2021",여학생,3844,4.6,0.4
"학년별","고3","2022",전체,7392,9.2,0.5
"학년별","고3","2022",남학생,3814,13.8,0.8
"학년별","고3","2022",여학생,3578,4.1,0.4
"학년별","고3","2023",전체,7257,7.9,0.4
"학년별","고3","2023",남학생,3742,11.4,0.7
"학년별","고3","2023",여학생,3515,4.1,0.3
"학교급별","중학교","2014",전체,36156,4.7,0.2
"학교급별","중학교","2014",남학생,18563,6.8,0.2
"학교급별","중학교","2014",여학생,17593,2.3,0.1
"학교급별","중학교","2015",전체,34299,3.3,0.1
"학교급별","중학교","2015",남학생,17858,4.8,0.2
"학교급별","중학교","2015",여학생,16441,1.7,0.1
"학교급별","중학교","2016",전체,32219,2.5,0.1
"학교급별","중학교","2016",남학생,16742,3.5,0.2
"학교급별","중학교","2016",여학생,15477,1.3,0.1
"학교급별","중학교","2017",전체,30885,3.0,0.1
"학교급별","중학교","2017",남학생,15652,4.1,0.2
"학교급별","중학교","2017",여학생,15233,1.8,0.1
"학교급별","중학교","2018",전체,30229,3.0,0.2
"학교급별","중학교","2018",남학생,15328,3.9,0.2
"학교급별","중학교","2018",여학생,14901,2.1,0.2
"학교급별","중학교","2019",전체,29384,3.2,0.1
"학교급별","중학교","2019",남학생,15401,4.0,0.2
"학교급별","중학교","2019",여학생,13983,2.3,0.2
"학교급별","중학교","2020",전체,28961,1.7,0.1
"학교급별","중학교","2020",남학생,14830,1.9,0.1
"학교급별","중학교","2020",여학생,14131,1.5,0.1
"학교급별","중학교","2021",전체,30015,1.9,0.1
"학교급별","중학교","2021",남학생,15586,2.1,0.1
"학교급별","중학교","2021",여학생,14429,1.6,0.1
"학교급별","중학교","2022",전체,28015,2.1,0.1
"학교급별","중학교","2022",남학생,14183,2.3,0.1
"학교급별","중학교","2022",여학생,13832,1.8,0.1
"학교급별","중학교","2023",전체,28401,2.2,0.1
"학교급별","중학교","2023",남학생,14388,2.4,0.2
"학교급별","중학교","2023",여학생,14013,1.9,0.1
"학교급별","고등학교","2014",전체,35904,13.5,0.5
"학교급별","고등학교","2014",남학생,17907,20.8,0.6
"학교급별","고등학교","2014",여학생,17997,5.6,0.3
"학교급별","고등학교","2015",전체,33744,11.7,0.5
"학교급별","고등학교","2015",남학생,17346,18.3,0.6
"학교급별","고등학교","2015",여학생,16398,4.5,0.3
"학교급별","고등학교","2016",전체,33309,9.5,0.4
"학교급별","고등학교","2016",남학생,17061,14.7,0.5
"학교급별","고등학교","2016",여학생,16248,3.8,0.3
"학교급별","고등학교","2017",전체,31391,9.2,0.3
"학교급별","고등학교","2017",남학생,15972,13.9,0.4
"학교급별","고등학교","2017",여학생,15419,4.1,0.3
"학교급별","고등학교","2018",전체,29811,9.8,0.4
"학교급별","고등학교","2018",남학생,15135,14.1,0.5
"학교급별","고등학교","2018",여학생,14676,5.1,0.3
"학교급별","고등학교","2019",전체,27919,9.9,0.3
"학교급별","고등학교","2019",남학생,14440,14.2,0.4
"학교급별","고등학교","2019",여학생,13479,5.2,0.3
"학교급별","고등학교","2020",전체,25987,7.1,0.3
"학교급별","고등학교","2020",남학생,13523,10.1,0.4
"학교급별","고등학교","2020",여학생,12464,3.8,0.3
"학교급별","고등학교","2021",전체,24833,7.2,0.3
"학교급별","고등학교","2021",남학생,12815,10.0,0.4
"학교급별","고등학교","2021",여학생,12018,4.2,0.3
"학교급별","고등학교","2022",전체,23835,7.1,0.3
"학교급별","고등학교","2022",남학생,12214,10.4,0.4
"학교급별","고등학교","2022",여학생,11621,3.6,0.2
"학교급별","고등학교","2023",전체,24479,6.4,0.2
"학교급별","고등학교","2023",남학생,12381,9.0,0.4
"학교급별","고등학교","2023",여학생,12098,3.6,0.2
"지역별","서울","2014",전체,10997,8.7,0.7
"지역별","서울","2014",남학생,5537,13.1,0.8
"지역별","서울","2014",여학생,5460,3.9,0.4
"지역별","서울","2015",전체,9710,7.0,0.6
"지역별","서울","2015",남학생,4846,10.7,0.8
"지역별","서울","2015",여학생,4864,3.0,0.3
"지역별","서울","2016",전체,9567,5.8,0.5
"지역별","서울","2016",남학생,4804,8.5,0.7
"지역별","서울","2016",여학생,4763,2.8,0.3
"지역별","서울","2017",전체,9287,5.7,0.5
"지역별","서울","2017",남학생,4541,8.2,0.5
"지역별","서울","2017",여학생,4746,3.1,0.4
"지역별","서울","2018",전체,8771,5.7,0.5
"지역별","서울","2018",남학생,4402,7.9,0.6
"지역별","서울","2018",여학생,4369,3.3,0.4
"지역별","서울","2019",전체,8337,5.7,0.4
"지역별","서울","2019",남학생,4210,8.2,0.7
"지역별","서울","2019",여학생,4127,3.1,0.3
"지역별","서울","2020",전체,7691,3.4,0.3
"지역별","서울","2020",남학생,4067,4.2,0.4
"지역별","서울","2020",여학생,3624,2.5,0.4
"지역별","서울","2021",전체,7643,3.3,0.3
"지역별","서울","2021",남학생,3855,4.6,0.5
"지역별","서울","2021",여학생,3788,2.0,0.3
"지역별","서울","2022",전체,7244,3.3,0.3
"지역별","서울","2022",남학생,3541,4.4,0.5
"지역별","서울","2022",여학생,3703,2.1,0.2
"지역별","서울","2023",전체,7364,3.5,0.3
"지역별","서울","2023",남학생,3684,4.8,0.5
"지역별","서울","2023",여학생,3680,2.2,0.3
"지역별","부산","2014",전체,4436,9.1,0.8
"지역별","부산","2014",남학생,2300,13.5,1.2
"지역별","부산","2014",여학생,2136,4.2,0.5
"지역별","부산","2015",전체,4209,7.0,0.8
"지역별","부산","2015",남학생,2159,9.9,1.1
"지역별","부산","2015",여학생,2050,3.7,0.7
"지역별","부산","2016",전체,3979,5.7,0.7
"지역별","부산","2016",남학생,1957,8.5,0.9
"지역별","부산","2016",여학생,2022,2.5,0.6
"지역별","부산","2017",전체,3752,5.0,0.7
"지역별","부산","2017",남학생,1738,7.9,1.0
"지역별","부산","2017",여학생,2014,1.7,0.4
"지역별","부산","2018",전체,3818,5.8,0.7
"지역별","부산","2018",남학생,1882,8.8,0.9
"지역별","부산","2018",여학생,1936,2.5,0.5
"지역별","부산","2019",전체,3512,7.4,0.7
"지역별","부산","2019",남학생,1872,10.2,1.1
"지역별","부산","2019",여학생,1640,4.3,0.9
"지역별","부산","2020",전체,3326,3.7,0.4
"지역별","부산","2020",남학생,1714,4.5,0.5
"지역별","부산","2020",여학생,1612,2.8,0.5
"지역별","부산","2021",전체,3235,4.0,0.4
"지역별","부산","2021",남학생,1754,5.4,0.7
"지역별","부산","2021",여학생,1481,2.5,0.4
"지역별","부산","2022",전체,2975,3.9,0.5
"지역별","부산","2022",남학생,1573,5.5,0.7
"지역별","부산","2022",여학생,1402,2.2,0.5
"지역별","부산","2023",전체,3137,3.6,0.6
"지역별","부산","2023",남학생,1572,5.5,1.0
"지역별","부산","2023",여학생,1565,1.6,0.3
"지역별","대구","2014",전체,3952,7.8,0.9
"지역별","대구","2014",남학생,2063,11.8,1.3
"지역별","대구","2014",여학생,1889,3.4,0.5
"지역별","대구","2015",전체,3614,7.4,1.1
"지역별","대구","2015",남학생,2081,12.3,1.4
"지역별","대구","2015",여학생,1533,1.9,0.5
"지역별","대구","2016",전체,3292,5.6,0.8
"지역별","대구","2016",남학생,1806,9.3,1.2
"지역별","대구","2016",여학생,1486,1.4,0.4
"지역별","대구","2017",전체,3288,5.9,0.8
"지역별","대구","2017",남학생,1707,9.2,1.2
"지역별","대구","2017",여학생,1581,2.2,0.4
"지역별","대구","2018",전체,3066,6.8,1.2
"지역별","대구","2018",남학생,1473,10.4,1.7
"지역별","대구","2018",여학생,1593,2.8,0.6
"지역별","대구","2019",전체,2965,6.0,0.6
"지역별","대구","2019",남학생,1612,8.7,1.2
"지역별","대구","2019",여학생,1353,2.9,0.8
"지역별","대구","2020",전체,2767,2.6,0.5
"지역별","대구","2020",남학생,1577,4.3,0.9
"지역별","대구","2020",여학생,1190,0.9,0.2
"지역별","대구","2021",전체,2929,4.6,0.6
"지역별","대구","2021",남학생,1471,6.9,1.1
"지역별","대구","2021",여학생,1458,2.1,0.6
"지역별","대구","2022",전체,2550,3.2,0.5
"지역별","대구","2022",남학생,1370,4.4,0.7
"지역별","대구","2022",여학생,1180,1.8,0.4
"지역별","대구","2023",전체,2642,3.7,0.5
"지역별","대구","2023",남학생,1411,4.4,0.7
"지역별","대구","2023",여학생,1231,2.8,0.7
"지역별","인천","2014",전체,4120,8.9,1.3
"지역별","인천","2014",남학생,2091,13.6,2.1
"지역별","인천","2014",여학생,2029,3.9,1.1
"지역별","인천","2015",전체,3847,7.3,1.0
"지역별","인천","2015",남학생,2104,11.2,1.5
"지역별","인천","2015",여학생,1743,3.1,0.9
"지역별","인천","2016",전체,3724,5.7,0.7
"지역별","인천","2016",남학생,1971,9.1,1.1
"지역별","인천","2016",여학생,1753,2.0,0.5
"지역별","인천","2017",전체,3431,6.0,1.0
"지역별","인천","2017",남학생,1809,9.0,1.6
"지역별","인천","2017",여학생,1622,2.7,0.8
"지역별","인천","2018",전체,3398,6.8,0.9
"지역별","인천","2018",남학생,1802,9.9,1.6
"지역별","인천","2018",여학생,1596,3.5,0.8
"지역별","인천","2019",전체,3241,7.1,0.8
"지역별","인천","2019",남학생,1812,10.2,1.4
"지역별","인천","2019",여학생,1429,3.8,1.3
"지역별","인천","2020",전체,3020,4.3,0.7
"지역별","인천","2020",남학생,1632,6.8,1.2
"지역별","인천","2020",여학생,1388,1.7,0.4
"지역별","인천","2021",전체,3181,4.2,0.5
"지역별","인천","2021",남학생,1628,5.8,0.8
"지역별","인천","2021",여학생,1553,2.5,0.4
